SetId,SlotId,SlotEntry,StartTime,Duration,FinishTime,RoomId,ClassId,ClassificationName,ModGrpCode,ModuleIds,DeptId,LecturerIds
TIMES13-14,22910,1,30/09/2013 09:00:00,240,30/09/2013 13:00:00,4SB.6.8,LEC,Lecture,NULL,HS882-7-AU,HS,TERRA18419
TIMES13-14,14913,1,30/09/2013 09:30:00,180,30/09/2013 12:30:00,5A.101,LEC,Lecture,,BE852-7-AU,BE,MNXNE26702
TIMES13-14,23627,1,30/09/2013 10:00:00,360,30/09/2013 16:00:00,4SB.6.3,LEC,Lecture,NULL,HS873-7-AP,HS,FURCC98209
TIMES13-14,21538,1,30/09/2013 14:00:00,180,30/09/2013 17:00:00,5A.101,LEC,Lecture,,BE852-7-AU,BE,GUBZN49503
TIMES13-14,22911,1,30/09/2013 14:00:00,180,30/09/2013 17:00:00,4SB.6.8,LEC,Lecture,NULL,HS882-7-AU,HS,TERRA18419
TIMES13-14,39024,1,30/09/2013 16:00:00,60,30/09/2013 17:00:00,Library Foyer,PRS,Presentation,SEMa01,BE951-7-AU,BE,ZNPZV34501
TIMES13-14,5669,1,01/10/2013 09:00:00,420,01/10/2013 16:00:00,4SB.6.3,LAB,Laboratory,,HS254-5-AU,HS,NAQER70104
TIMES13-14,5684,1,01/10/2013 09:00:00,180,01/10/2013 12:00:00,4SB.6.1,LAB,Laboratory,NULL,HS268-5-AU,HS,ZNYYB46001
TIMES13-14,35463,1,01/10/2013 09:00:00,180,01/10/2013 12:00:00,4SB.6.6,LAB,Laboratory,,HS811-7-AU,HS,ZNYYB46001
TIMES13-14,22898,1,01/10/2013 09:00:00,240,01/10/2013 13:00:00,2S2.3.20,LAB,Laboratory,NULL,HS881-7-AU,HS,UNEEV75404
TIMES13-14,22906,1,01/10/2013 09:00:00,240,01/10/2013 13:00:00,4SB.6.8,LEC,Lecture,NULL,HS882-7-AU,HS,TERRA18419
TIMES13-14,37893,1,01/10/2013 09:30:00,180,01/10/2013 12:30:00,5A.101,LEC,Lecture,,BE851-7-FY,BE,IBYXZ50709
TIMES13-14,38464,1,01/10/2013 10:00:00,60,01/10/2013 11:00:00,Library Foyer,PRS,Presentation,SEMa02,BE951-7-AU,BE,ZNPZV34501
TIMES13-14,39034,1,01/10/2013 11:00:00,60,01/10/2013 12:00:00,3.108,PRS,Presentation,NULL,BE466-7-SP,BE,ZNPZV34501
TIMES13-14,15985,1,01/10/2013 13:00:00,180,01/10/2013 16:00:00,4SB.6.1,LAB,Laboratory,NULL,HS268-5-AU,HS,ZNYYB46001
TIMES13-14,35464,1,01/10/2013 13:00:00,180,01/10/2013 16:00:00,4SB.6.6,LAB,Laboratory,,HS811-7-AU,HS,ZNYYB46001
TIMES13-14,22899,1,01/10/2013 14:00:00,120,01/10/2013 16:00:00,2S2.3.20,LEC,Lecture,NULL,HS881-7-AU,HS,UNEEV75404
TIMES13-14,22907,1,01/10/2013 14:00:00,180,01/10/2013 17:00:00,4SB.6.8,LEC,Lecture,NULL,HS882-7-AU,HS,TERRA18419
TIMES13-14,15964,1,02/10/2013 09:00:00,240,02/10/2013 13:00:00,4SB.6.1,LAB,Laboratory,NULL,HS167-4-AU,HS,ONAAN63506
TIMES13-14,22806,1,02/10/2013 09:00:00,480,02/10/2013 17:00:00,2S2.3.20,CLA,Class,CLAa01,HS860-7-AU,HS,PBAFG57704
TIMES13-14,22807,1,02/10/2013 09:00:00,480,02/10/2013 17:00:00,4SB.6.8,CLA,Class,CLAa02,HS860-7-AU,HS,"PBEEV99805, QNYRL11304"
TIMES13-14,38554,1,02/10/2013 10:00:00,60,02/10/2013 11:00:00,3.108,PRS,Presentation,NULL,BE466-7-SP,BE,ZNPZV34501
TIMES13-14,23630,1,02/10/2013 10:00:00,180,02/10/2013 13:00:00,4SB.6.3,LEC,Lecture,NULL,HS873-7-AP,HS,FURCC98209
TIMES13-14,23609,1,02/10/2013 14:00:00,180,02/10/2013 17:00:00,4SB.6.1,LAB,Laboratory,NULL,HS167-4-AU,HS,ONAAN63506
TIMES13-14,39022,1,02/10/2013 16:00:00,60,02/10/2013 17:00:00,Library Foyer,SEM,Seminar,SEMa03,BE951-7-AU,BE,ZNPZV34501
TIMES13-14,5600,1,03/10/2013 09:00:00,180,03/10/2013 12:00:00,4SB.6.3,LAB,Laboratory,NULL,HS152-4-AU,HS,"CELRE14700, FGRVA32208"
TIMES13-14,23055,1,03/10/2013 09:00:00,180,03/10/2013 12:00:00,4SB.6.1,LEC,Lecture,NULL,HS168-4-AU,HS,ONAAN63506
TIMES13-14,35466,1,03/10/2013 09:00:00,180,03/10/2013 12:00:00,4SB.6.6,LAB,Laboratory,,HS811-7-AU,HS,ZNYYB46001
TIMES13-14,22903,1,03/10/2013 09:00:00,120,03/10/2013 11:00:00,2S2.3.20,CLA,Class,CLAa01,HS881-7-AU,HS,UNEEV75404
TIMES13-14,22908,1,03/10/2013 09:00:00,240,03/10/2013 13:00:00,4SB.6.8,LEC,Lecture,NULL,HS882-7-AU,HS,TERRA18419
